Excel Row,Order ID,Store,Tracking Added,Write Status,Verification Status
1,27-14642-35871,TPP_EBAY,9302082417212105614918,Success,verified
2,23-14655-66644,TPP_EBAY,9302082974939532361153,Success,accepted_pending_readback
3,13-14631-72417,TPP_EBAY,9302083185395491359623,Success,verified
4,04-14677-43950,TT_EBAY,9302081425105281875827,Success,accepted_pending_readback
5,25-14638-83778,TT_EBAY,9302082496885457917104,Success,accepted_pending_readback
6,17-14616-58579,TT_EBAY,9302082271460747937708,Success,verified
7,26-14627-03909,TT_EBAY,9302088999240500900313,Success,verified
8,23-14631-49378,TT_EBAY,9302087168028883764453,Success,verified
9,11-14658-96896,TT_EBAY,9302083345907621966511,Success,verified
10,13-14632-82216,TPP_EBAY,9302087633980293613945,Success,verified
11,18-14613-48091,TPP_EBAY,9302081159696865715818,Success,verified
12,16-14575-66650,TPP_EBAY,9302085250670778314043,Success,verified
13,03-14670-21777,TPP_EBAY,9302081262046793483687,Success,verified
14,21-14662-55724,TPP_EBAY,9302089732362209624940,Success,accepted_pending_readback
15,06-14664-41795,TPP_EBAY,9302085619451687068369,Success,verified
16,25-14636-19206,TPP_EBAY,9302088904270592237716,Success,accepted_pending_readback
17,24-14651-25970,TPP_EBAY,9302081942730029774883,Success,verified
18,20-14635-80656,TPP_EBAY,9302082042338998757089,Success,verified
19,21-14613-46885,TPP_EBAY,9302088796247637445798,Success,verified
20,10-14655-52036,TPP_EBAY,9302084216696283951763,Success,verified
21,05-14684-95985,TPP_EBAY,9302082903421769607064,Success,accepted_pending_readback
22,13-14642-98175,TPP_EBAY,9302088743956924801176,Success,verified
23,23-14640-91124,TPP_EBAY,9302085340036616494957,Success,verified
24,05-14659-02825,TT_EBAY,9302081116635379052304,Success,verified
